Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"West - Center","Junction Boulder > Empire > Colorado",https://www.mountainproject.com/route/117632467/west-center,2.0,-1,Boulder,V1-2,1,12,39.7603,-105.683
"North - Right","Junction Boulder > Empire > Colorado",https://www.mountainproject.com/route/117632504/north-right,2.0,-1,Boulder,V2-3,1,10,39.7603,-105.683
"V0 Crack","Jaws Boulder > Independence Pass > Colorado",https://www.mountainproject.com/route/108307008/v0-crack,2.0,-1,Boulder,V0-,1,,39.11958,-106.72196
V1,"Jaws Boulder > Independence Pass > Colorado",https://www.mountainproject.com/route/108306987/v1,2.8,-1,Boulder,V1,1,,39.11958,-106.72196
Jaws,"Jaws Boulder > Independence Pass > Colorado",https://www.mountainproject.com/route/105755479/jaws,3.6,-1,Boulder,V3,1,,39.11958,-106.72196
Aqualad,"Whirlpool Rock > Independence Pass > Colorado",https://www.mountainproject.com/route/112069555/aqualad,3.0,-1,Boulder,V3,1,20,39.12042,-106.70159
V0,"Intruders > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284496/v0,2.5,-1,Boulder,V0,1,,39.11649,-106.69374
V3,"Intruders > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284472/v3,-1.0,-1,Boulder,V3,1,,39.11649,-106.69374
V1,"Outhouse Wall > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284525/v1,1.8,-1,Boulder,V1,1,,39.11649,-106.69374
"The Lump V1","Outhouse Wall > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284541/the-lump-v1,2.0,-1,Boulder,V1,1,,39.11649,-106.69374
V2,"Outhouse Wall > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284551/v2,3.0,-1,Boulder,V2,1,,39.11649,-106.69374
"V3 Traverse","Outhouse Wall > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284518/v3-traverse,3.0,-1,Boulder,V3,1,,39.11649,-106.69374
"V0 leaning crack","Campground Rock > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284590/v0-leaning-crack,2.0,-1,Boulder,V0,1,16,39.11649,-106.69374
"V2 Water Groove Tube","Campground Rock > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108284602/v2-water-groove-tube,3.0,-1,Boulder,V2,1,,39.11649,-106.69374
Pyramid,"Treasure Chest > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306470/pyramid,2.3,-1,Boulder,V0,1,,39.11517,-106.69129
"Moss Arete","Treasure Chest > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/109391202/moss-arete,1.5,-1,Boulder,V0,1,17,39.11517,-106.69129
"Black Beard","Treasure Chest > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306452/black-beard,2.8,-1,Boulder,V3,1,,39.11517,-106.69129
V0,"Main Campsite 5 Wall > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306520/v0,2.5,-1,Boulder,V0,1,,39.11066,-106.68538
"Black Streak","Main Campsite 5 Wall > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306507/black-streak,-1.0,-1,Boulder,V2,1,,39.11066,-106.68538
"Black Streak Right","Main Campsite 5 Wall > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306511/black-streak-right,-1.0,-1,Boulder,V2,1,,39.11066,-106.68538
V2,"Main Campsite 5 Wall > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306544/v2,2.5,-1,Boulder,V2,1,,39.11066,-106.68538
"V3 Traverse","Main Campsite 5 Wall > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306549/v3-traverse,-1.0,-1,Boulder,V3,1,,39.11066,-106.68538
"V0 Traverse","Beetle Juice > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306590/v0-traverse,2.0,-1,Boulder,V0,1,,39.11144,-106.68549
"V1 Traverse","Beetle Juice > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306612/v1-traverse,2.0,-1,Boulder,V1,1,,39.11144,-106.68549
V2,"Beetle Juice > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306600/v2,2.0,-1,Boulder,V2,1,,39.11144,-106.68549
V3,"Beetle Juice > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306606/v3,2.3,-1,Boulder,V3,1,,39.11144,-106.68549
V2,"The Boulder > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306645/v2,2.0,-1,Boulder,V2,1,,39.11205,-106.68511
V3,"The Boulder > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306655/v3,2.0,-1,Boulder,V3,1,,39.11205,-106.68511
Sputnik,"Southern Satellite 1 > Southern Boulders > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306824/sputnik,-1.0,-1,Boulder,V0,1,,39.11608,-106.68877
Orbiter,"Southern Satellite 2 > Southern Boulders > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306838/orbiter,1.0,-1,Boulder,V0,1,,39.11607,-106.68895
