Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Imaginary Voyage","Imaginary Voyage Formation > Lost Horse Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722548/imaginary-voyage,3.8,-1,Trad,5.10d,1,80,34.02016,-116.17995
Interceptor,"Upper Broadloaves - North > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106002801/interceptor,3.4,-1,Trad,5.11a,1,80,42.08838,-113.7291
"Community Pillar","North Face > Magic Mountain > 10-Pine Creek Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732959/community-pillar,3.4,-1,Trad,5.9,8,700,36.12126,-115.49023
"Split Beaver","Split Beaver > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105951010/split-beaver,3.4,-1,Trad,5.10b,1,100,49.7061,-123.1382
"Stan's Crack","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105957464/stans-crack,3.6,-1,Trad,5.8+,2,90,34.9992,-85.3554
Orbit,"Snow Creek Wall > Snow Creek Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106768055/orbit,3.3,-1,Trad,"5.8+ PG13",7,800,47.52963,-120.71869
Hairpin,"Main Area, Frontside > The Papoose > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105887144/hairpin,3.4,-1,Trad,5.10a,5,300,49.66841,-123.16594
"Rites of Spring","Armando's Stilletto / Rites of Spring > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105909023/rites-of-spring,3.4,-1,Trad,5.10d,4,400,37.38403,-118.67725
Sinsemilla,"King Pins > Sunshine Wall > Frenchman Coulee, AKA Vantage > Central Region > Washington",https://www.mountainproject.com/route/105946967/sinsemilla,3.4,-1,Trad,5.10b/c,1,70,47.02297,-119.97362
"Jellyroll Arch","East Face > Grouse Slab > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735152/jellyroll-arch,3.4,-1,Trad,5.8,2,200,39.32288,-120.31851
"Monday Morning Slab, Harry Daley Route","Monday Morning Slab > Glacier Point Apron > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105939242/monday-morning-slab-harry-daley-route,3.4,-1,Trad,5.8,2,300,37.73296,-119.56602
